id,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
1,no checking,21,critical/other existing credit,radio/tv,9283,<100,1<=X<4,4,female div/dep/mar,none,1,life insurance,23,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
2,<0,12,delayed previously,furniture/equipment,3499,<100,>=7,1,female div/dep/mar,none,4,car,23,none,own,1,skilled,1,none,yes,good
3,0<=X<200,24,existing paid,new car,10623,<100,<1,4,male single,none,3,car,66,bank,own,2,skilled,1,none,yes,good
4,>=200,9,critical/other existing credit,furniture/equipment,1567,<100,<1,2,male single,none,2,car,32,bank,for free,1,skilled,1,none,yes,bad
5,<0,12,existing paid,used car,1837,no known savings,1<=X<4,4,male single,none,4,real estate,33,stores,own,1,skilled,1,none,yes,good
6,>=200,24,existing paid,furniture/equipment,609,<100,1<=X<4,2,male single,co applicant,2,car,45,none,for free,1,unskilled resident,1,none,yes,good
7,no checking,9,existing paid,furniture/equipment,3835,<100,>=7,4,male single,none,2,real estate,30,none,own,2,skilled,2,none,yes,good
8,0<=X<200,12,existing paid,used car,8648,<100,1<=X<4,1,female div/dep/mar,co applicant,2,car,30,none,own,2,skilled,1,yes,yes,good
9,0<=X<200,30,critical/other existing credit,used car,1901,100<=X<500,4<=X<7,2,female div/dep/mar,none,4,car,27,none,own,1,skilled,1,none,yes,good
10,0<=X<200,21,existing paid,other,1532,100<=X<500,1<=X<4,2,male single,none,4,life insurance,36,none,own,1,unskilled resident,2,yes,yes,bad
11,no checking,30,all paid,radio/tv,11938,<100,1<=X<4,4,male div/sep,guarantor,4,life insurance,22,none,own,2,unskilled resident,1,none,no,good
12,no checking,12,critical/other existing credit,furniture/equipment,2679,<100,4<=X<7,4,male single,none,1,real estate,36,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
13,0<=X<200,24,existing paid,radio/tv,1240,500<=X<1000,1<=X<4,4,male single,none,1,car,27,none,own,2,skilled,2,yes,yes,bad
14,no checking,42,no credits/all paid,radio/tv,2315,<100,>=7,4,male single,none,4,no known property,22,bank,own,2,skilled,1,none,yes,good
15,no checking,12,existing paid,new car,4817,no known savings,4<=X<7,1,male single,none,1,life insurance,40,none,own,1,skilled,1,none,yes,good
16,no checking,24,existing paid,used car,1185,<100,<1,2,male single,none,4,real estate,42,none,own,1,skilled,2,none,yes,good
17,0<=X<200,18,delayed previously,business,1346,500<=X<1000,>=7,1,male single,none,3,life insurance,22,bank,own,2,skilled,1,yes,yes,good
18,no checking,24,critical/other existing credit,business,3244,no known savings,>=7,4,male single,co applicant,3,car,31,none,own,1,unskilled resident,1,yes,yes,good
19,no checking,12,existing paid,used car,1330,100<=X<500,4<=X<7,3,male single,none,2,real estate,24,none,own,2,skilled,1,none,yes,bad
20,>=200,24,critical/other existing credit,used car,5965,<100,1<=X<4,3,male single,guarantor,4,real estate,24,none,own,1,unskilled resident,1,none,yes,bad
21,no checking,8,existing paid,radio/tv,836,no known savings,1<=X<4,3,male single,none,4,real estate,32,bank,own,1,skilled,1,none,yes,good
22,>=200,60,existing paid,repairs,5152,<100,1<=X<4,4,male mar/wid,none,4,life insurance,43,none,own,2,skilled,2,none,yes,good
23,<0,24,all paid,radio/tv,4110,100<=X<500,4<=X<7,3,male single,none,2,car,37,bank,for free,1,unskilled resident,1,none,yes,bad
24,no checking,12,existing paid,radio/tv,3368,no known savings,>=7,3,male single,co applicant,2,real estate,36,none,own,1,skilled,2,none,yes,bad
25,no checking,24,existing paid,furniture/equipment,1842,>=1000,4<=X<7,3,female div/dep/mar,none,4,real estate,63,bank,own,1,skilled,1,yes,yes,good
26,no checking,24,existing paid,new car,1216,<100,>=7,4,female div/dep/mar,none,2,car,30,none,own,2,skilled,1,none,yes,good
27,<0,20,existing paid,new car,3108,<100,1<=X<4,1,male single,none,1,life insurance,23,none,own,2,high qualif/self emp/mgmt,1,none,yes,bad
28,0<=X<200,36,existing paid,radio/tv,2631,<100,>=7,3,male single,none,2,no known property,48,bank,for free,1,skilled,1,none,yes,bad
29,no checking,10,critical/other existing credit,education,1494,<100,1<=X<4,1,female div/dep/mar,none,2,real estate,48,bank,rent,1,skilled,1,none,yes,good
30,>=200,24,critical/other existing credit,radio/tv,894,<100,>=7,2,female div/dep/mar,none,3,real estate,26,none,own,1,skilled,1,yes,yes,bad
31,0<=X<200,6,all paid,furniture/equipment,1820,<100,unemployed,1,male single,none,2,life insurance,48,stores,own,1,unemp/unskilled non res,1,none,yes,good
32,no checking,18,existing paid,new car,1258,100<=X<500,4<=X<7,4,male single,none,2,car,23,none,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
33,<0,12,critical/other existing credit,radio/tv,7476,<100,>=7,1,male single,none,4,real estate,39,none,for free,1,skilled,1,yes,yes,good
34,0<=X<200,30,existing paid,new car,1190,no known savings,unemployed,4,female div/dep/mar,none,3,no known property,25,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
35,no checking,12,critical/other existing credit,retraining,7228,<100,4<=X<7,4,male single,none,4,real estate,30,none,own,1,skilled,1,yes,yes,good
36,<0,5,delayed previously,furniture/equipment,1285,<100,>=7,2,female div/dep/mar,guarantor,4,car,46,none,own,2,skilled,1,yes,yes,good
37,no checking,12,critical/other existing credit,furniture/equipment,1414,100<=X<500,1<=X<4,3,female div/dep/mar,none,1,real estate,36,none,for free,1,skilled,1,none,yes,good
38,<0,18,critical/other existing credit,education,2442,<100,1<=X<4,2,female div/dep/mar,none,3,car,29,none,own,1,unskilled resident,1,none,yes,good
39,<0,15,existing paid,new car,15945,<100,1<=X<4,4,male single,none,2,real estate,42,none,for free,1,skilled,1,none,yes,good
40,<0,36,critical/other existing credit,radio/tv,2427,<100,unemployed,4,female div/dep/mar,none,3,real estate,26,bank,for free,2,skilled,1,none,yes,good
41,no checking,12,delayed previously,furniture/equipment,1919,<100,4<=X<7,3,male single,none,4,life insurance,35,none,own,2,skilled,1,none,yes,good
42,<0,12,existing paid,education,1474,<100,>=7,4,male single,none,4,no known property,40,none,own,2,unskilled resident,1,none,yes,good
43,no checking,36,existing paid,new car,1872,100<=X<500,4<=X<7,4,male single,none,1,life insurance,39,none,rent,1,skilled,1,none,yes,good
44,no checking,36,existing paid,furniture/equipment,1391,<100,1<=X<4,2,female div/dep/mar,none,2,car,54,none,own,2,unskilled resident,1,yes,yes,good
45,0<=X<200,18,all paid,radio/tv,1620,<100,1<=X<4,4,male single,none,1,no known property,32,bank,own,1,skilled,1,yes,yes,good
46,<0,12,critical/other existing credit,radio/tv,2108,<100,>=7,4,female div/dep/mar,none,3,real estate,38,none,own,2,skilled,1,yes,yes,good
47,<0,18,critical/other existing credit,used car,7678,<100,1<=X<4,4,male single,none,4,life insurance,26,none,rent,1,skilled,1,none,yes,good
