id,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
1,<0,18,critical/other existing credit,new car,1092,<100,4<=X<7,4,male mar/wid,none,4,life insurance,23,none,own,1,skilled,2,none,yes,bad
2,0<=X<200,7,critical/other existing credit,new car,2346,100<=X<500,4<=X<7,4,male single,none,1,no known property,25,none,own,1,skilled,2,none,yes,good
3,no checking,12,critical/other existing credit,radio/tv,1402,no known savings,4<=X<7,2,male single,none,3,life insurance,30,none,own,1,unskilled resident,2,yes,yes,good
4,0<=X<200,48,existing paid,furniture/equipment,1893,no known savings,4<=X<7,3,female div/dep/mar,none,2,no known property,54,none,own,2,unskilled resident,2,yes,no,good
5,<0,18,critical/other existing credit,radio/tv,888,<100,4<=X<7,1,female div/dep/mar,none,2,real estate,32,none,own,2,unskilled resident,1,none,yes,good
6,no checking,18,critical/other existing credit,used car,3017,<100,1<=X<4,4,female div/dep/mar,none,4,car,23,none,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
7,<0,30,critical/other existing credit,business,4526,no known savings,>=7,2,male div/sep,none,1,real estate,36,bank,own,1,skilled,1,none,yes,bad
8,0<=X<200,24,no credits/all paid,furniture/equipment,3832,>=1000,<1,4,male single,none,2,life insurance,29,bank,own,1,skilled,1,none,yes,bad
9,<0,15,critical/other existing credit,radio/tv,2039,<100,<1,2,female div/dep/mar,none,4,real estate,36,bank,own,1,skilled,1,none,yes,good
10,0<=X<200,27,critical/other existing credit,repairs,666,<100,>=7,4,female div/dep/mar,guarantor,1,car,27,none,own,2,skilled,1,yes,yes,bad
11,<0,48,existing paid,used car,4380,100<=X<500,>=7,1,male single,none,2,real estate,28,none,own,1,unskilled resident,1,yes,yes,good
12,>=200,24,existing paid,furniture/equipment,3017,<100,1<=X<4,2,male single,none,1,life insurance,29,none,own,2,skilled,1,yes,yes,good
13,no checking,24,critical/other existing credit,radio/tv,2326,no known savings,1<=X<4,3,male single,none,4,life insurance,31,none,own,1,skilled,1,yes,yes,bad
14,0<=X<200,54,critical/other existing credit,new car,1203,>=1000,4<=X<7,3,male single,none,2,life insurance,29,none,own,1,skilled,1,none,yes,good
15,no checking,12,critical/other existing credit,used car,3609,<100,1<=X<4,1,male single,none,1,real estate,33,none,own,2,skilled,1,none,yes,good
16,<0,36,delayed previously,new car,1101,<100,<1,3,male div/sep,none,2,car,48,none,own,2,skilled,1,none,yes,bad
17,0<=X<200,8,all paid,radio/tv,937,<100,<1,4,male single,none,2,car,26,none,own,2,skilled,1,none,yes,bad
18,no checking,15,critical/other existing credit,new car,2118,100<=X<500,<1,4,male single,none,2,car,41,none,own,1,skilled,1,yes,yes,bad
19,0<=X<200,48,existing paid,new car,2096,<100,4<=X<7,4,male single,co applicant,4,no known property,44,none,own,2,skilled,1,none,yes,bad
20,0<=X<200,24,all paid,furniture/equipment,3857,<100,>=7,2,female div/dep/mar,none,4,car,49,stores,own,3,high qualif/self emp/mgmt,2,yes,yes,good
21,<0,30,critical/other existing credit,radio/tv,3973,no known savings,>=7,2,male single,guarantor,3,car,24,bank,own,1,skilled,1,yes,yes,bad
22,<0,27,existing paid,business,5743,<100,>=7,4,male single,none,1,car,28,none,own,2,skilled,1,none,yes,good
23,no checking,15,existing paid,new car,4788,<100,<1,4,male single,none,1,real estate,35,bank,own,1,unskilled resident,2,yes,yes,good
24,>=200,12,existing paid,furniture/equipment,1444,<100,>=7,4,male single,none,3,car,41,stores,own,1,high qualif/self emp/mgmt,2,yes,yes,good
25,no checking,6,critical/other existing credit,business,1963,500<=X<1000,4<=X<7,4,male single,none,4,real estate,36,bank,own,1,high qualif/self emp/mgmt,1,none,yes,good
26,>=200,18,critical/other existing credit,radio/tv,1228,<100,1<=X<4,4,female div/dep/mar,none,3,no known property,21,none,own,3,high qualif/self emp/mgmt,2,yes,yes,good
27,<0,12,all paid,new car,3939,<100,4<=X<7,2,female div/dep/mar,none,2,real estate,24,none,own,2,skilled,2,none,yes,good
28,0<=X<200,60,existing paid,radio/tv,1459,<100,>=7,4,male single,none,3,life insurance,25,none,own,1,skilled,1,yes,yes,good
29,no checking,6,existing paid,radio/tv,2251,no known savings,1<=X<4,2,male single,co applicant,3,real estate,22,none,own,1,high qualif/self emp/mgmt,2,none,yes,good
30,<0,36,existing paid,business,2835,>=1000,1<=X<4,4,female div/dep/mar,none,2,real estate,35,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,good
31,<0,24,existing paid,business,2284,no known savings,unemployed,2,male mar/wid,none,2,real estate,43,none,own,2,skilled,1,none,yes,bad
32,<0,20,critical/other existing credit,new car,1344,no known savings,4<=X<7,3,male single,none,3,real estate,53,bank,own,1,skilled,2,none,yes,good
33,no checking,10,existing paid,radio/tv,5866,100<=X<500,>=7,3,male single,none,2,life insurance,39,none,own,1,skilled,1,yes,yes,good
34,no checking,6,critical/other existing credit,new car,2728,<100,1<=X<4,4,male single,none,4,life insurance,26,none,own,2,skilled,1,none,yes,good
35,no checking,60,existing paid,business,1371,<100,unemployed,2,male single,none,2,car,31,none,own,3,unskilled resident,1,none,yes,good
36,no checking,4,existing paid,new car,4210,500<=X<1000,4<=X<7,2,male single,none,4,life insurance,31,bank,own,2,high qualif/self emp/mgmt,1,none,yes,bad
37,no checking,18,existing paid,furniture/equipment,3496,<100,4<=X<7,4,male single,none,4,life insurance,26,none,for free,1,skilled,1,none,yes,good
38,<0,18,existing paid,new car,14555,<100,4<=X<7,4,male single,none,2,car,39,none,rent,1,skilled,1,none,yes,good
39,no checking,10,critical/other existing credit,new car,601,<100,<1,3,male single,none,4,life insurance,22,none,own,1,skilled,1,yes,yes,bad
40,no checking,24,critical/other existing credit,radio/tv,484,no known savings,unemployed,3,male single,none,2,no known property,49,bank,rent,2,skilled,2,yes,yes,bad
41,0<=X<200,21,existing paid,new car,2697,<100,>=7,4,male single,none,4,car,59,none,own,2,skilled,2,none,yes,good
42,no checking,6,existing paid,new car,6416,<100,>=7,2,female div/dep/mar,none,4,car,41,none,own,2,unskilled resident,1,yes,yes,good
43,>=200,15,existing paid,furniture/equipment,2348,<100,1<=X<4,2,male single,none,3,life insurance,47,none,for free,1,skilled,1,none,yes,good
44,0<=X<200,24,delayed previously,furniture/equipment,5998,no known savings,unemployed,4,female div/dep/mar,none,4,life insurance,26,none,rent,2,unskilled resident,1,yes,yes,good
45,0<=X<200,12,existing paid,radio/tv,1940,<100,<1,1,male mar/wid,none,1,real estate,50,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
46,0<=X<200,6,existing paid,radio/tv,2439,<100,<1,4,female div/dep/mar,none,2,life insurance,40,none,own,1,skilled,1,none,yes,good
47,0<=X<200,24,existing paid,new car,1224,<100,1<=X<4,1,male single,none,1,car,28,none,rent,1,skilled,1,none,yes,bad
48,<0,60,all paid,new car,4165,<100,1<=X<4,4,male single,none,2,real estate,43,none,own,1,skilled,1,yes,yes,bad
49,no checking,6,existing paid,radio/tv,3512,no known savings,1<=X<4,4,male single,none,2,real estate,37,none,own,2,unskilled resident,1,yes,yes,bad
50,0<=X<200,12,existing paid,radio/tv,3077,100<=X<500,unemployed,3,male single,none,2,car,28,none,own,1,skilled,1,none,yes,good
51,no checking,24,critical/other existing credit,business,2788,<100,1<=X<4,3,male mar/wid,none,4,real estate,24,none,own,1,skilled,1,none,yes,good
52,no checking,9,all paid,new car,2181,500<=X<1000,>=7,2,male single,none,4,real estate,46,none,own,2,skilled,1,none,yes,good
53,0<=X<200,24,critical/other existing credit,new car,806,no known savings,1<=X<4,1,male mar/wid,none,2,real estate,37,none,own,2,unskilled resident,1,none,yes,good
54,<0,6,existing paid,furniture/equipment,8487,no known savings,<1,4,female div/dep/mar,none,1,life insurance,31,none,own,1,skilled,1,yes,yes,bad
55,no checking,27,critical/other existing credit,radio/tv,3249,no known savings,1<=X<4,1,male single,none,4,life insurance,20,none,rent,2,skilled,1,none,yes,good
56,0<=X<200,10,existing paid,radio/tv,4165,no known savings,>=7,2,male mar/wid,none,4,real estate,38,none,rent,1,skilled,1,yes,yes,good
57,<0,24,delayed previously,furniture/equipment,1433,<100,1<=X<4,2,male single,none,2,car,68,none,own,1,skilled,1,yes,yes,good
58,0<=X<200,24,existing paid,new car,3499,no known savings,>=7,4,female div/dep/mar,none,1,car,29,none,rent,1,unskilled resident,1,none,yes,good
59,no checking,15,existing paid,business,8065,<100,<1,4,female div/dep/mar,none,2,life insurance,39,none,rent,1,skilled,1,none,yes,good
60,no checking,12,existing paid,new car,2214,no known savings,1<=X<4,3,female div/dep/mar,none,3,real estate,42,none,for free,2,high qualif/self emp/mgmt,1,yes,yes,bad
61,no checking,18,no credits/all paid,furniture/equipment,3758,500<=X<1000,1<=X<4,2,male mar/wid,none,3,life insurance,26,none,for free,1,skilled,1,none,yes,bad
62,0<=X<200,12,existing paid,new car,886,100<=X<500,4<=X<7,2,male single,none,4,car,41,stores,for free,1,skilled,1,none,yes,good
63,<0,48,existing paid,radio/tv,1940,<100,1<=X<4,2,male single,guarantor,4,life insurance,53,none,own,2,unskilled resident,1,none,yes,bad
